accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location
2022010352073,2022,010352073,525199,177928,-0.198224,51.486454,1,3,2,1,05/01/2022,4,16:40,-1,E09000013,E09000013,3,3218,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,2,E01001883
2022010352573,2022,010352573,546214,179866,0.105042,51.49883,1,3,2,1,01/01/2022,7,01:17,-1,E09000011,E09000011,3,2016,3,50,6,2,6,0,0,4,4,1,1,0,0,2,1,2,E01033745
2022010352575,2022,010352575,551119,174789,0.173482,51.451924,1,3,2,1,01/01/2022,7,01:15,-1,E09000004,E09000004,3,207,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,2,E01000378
2022010352578,2022,010352578,528889,192230,-0.139873,51.614153,1,3,2,2,01/01/2022,7,02:24,-1,E09000010,E09000010,6,0,6,30,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01001529
2022010352580,2022,010352580,539773,190404,0.016495,51.595151,1,3,4,3,01/01/2022,7,02:30,-1,E09000026,E09000026,3,406,3,50,5,4,6,0,0,0,4,1,1,0,0,1,1,2,E01003673
2022010352588,2022,010352588,543159,181261,0.061626,51.512146,1,2,1,5,01/01/2022,7,02:55,-1,E09000025,E09000025,3,117,6,30,3,4,6,0,0,0,4,8,1,0,0,1,1,2,E01003481
2022010352591,2022,010352591,535435,168744,-0.0544,51.401567,1,3,2,1,01/01/2022,7,04:20,-1,E09000006,E09000006,6,0,6,30,3,4,6,0,0,0,7,1,1,0,0,1,1,2,E01000704
2022010352594,2022,010352594,546736,189194,0.116442,51.58251,1,3,4,4,01/01/2022,7,02:19,-1,E09000026,E09000026,3,12,3,40,0,-1,0,-1,0,0,4,1,1,0,0,2,1,2,E01003640
2022010352596,2022,010352596,539501,178262,0.007763,51.486112,1,3,1,1,01/01/2022,7,05:05,-1,E09000011,E09000011,3,206,6,30,7,2,5,0,0,5,4,1,1,0,0,1,1,2,E01001662
2022010352600,2022,010352600,534597,190727,-0.05806,51.599313,1,2,1,1,01/01/2022,7,02:15,-1,E09000014,E09000014,4,137,6,20,3,4,6,0,0,1,5,1,1,0,0,1,1,2,E01002075
2022010352601,2022,010352601,532694,183413,-0.088278,51.534038,1,3,1,1,01/01/2022,7,02:10,-1,E09000012,E09000012,3,1200,3,20,0,-1,0,-1,0,4,4,1,1,0,0,1,1,2,E01001781
2022010352605,2022,010352605,534094,182549,-0.068434,51.525943,1,2,1,1,01/01/2022,7,01:13,-1,E09000030,E09000030,3,1209,6,20,3,4,6,0,0,1,4,1,1,0,0,1,1,2,E01004312
2022010352606,2022,010352606,546301,179840,0.106283,51.498574,1,2,2,3,01/01/2022,7,03:51,-1,E09000011,E09000011,3,2016,3,50,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01001694
2022010352610,2022,010352610,508766,174030,-0.435995,51.454815,1,2,1,2,01/01/2022,7,05:45,-1,E09000018,E09000018,6,0,3,30,0,-1,0,-1,0,0,4,1,1,0,0,1,1,2,E01002558
2022010352611,2022,010352611,509531,182582,-0.422338,51.531533,1,3,3,4,01/01/2022,7,07:40,-1,E09000017,E09000017,5,0,6,30,3,4,6,0,0,8,1,1,1,0,0,1,1,2,E01002422
2022010352612,2022,010352612,528471,189140,-0.147037,51.58648,1,3,2,1,01/01/2022,7,10:45,-1,E09000014,E09000014,4,550,1,20,1,4,5,0,0,0,1,1,1,0,0,1,1,2,E01002022
2022010352613,2022,010352613,533304,178605,-0.081305,51.490688,1,3,2,1,01/01/2022,7,06:40,-1,E09000028,E09000028,3,2,6,30,3,2,5,0,0,0,1,1,1,0,0,1,1,2,E01003966
2022010352615,2022,010352615,529403,177887,-0.137725,51.48514,1,3,2,1,01/01/2022,7,04:49,-1,E09000033,E09000033,3,3212,6,20,3,2,6,0,0,4,4,1,1,0,0,1,1,2,E01004738
2022010352616,2022,010352616,538111,177157,-0.012675,51.476523,1,3,4,1,01/01/2022,7,09:05,-1,E09000011,E09000011,3,2211,2,30,0,-1,0,-1,0,8,1,9,1,0,0,1,1,2,E01033746
2022010352617,2022,010352617,524741,184519,-0.202486,51.545789,1,3,1,1,01/01/2022,7,10:39,-1,E09000005,E09000005,5,0,6,30,7,2,3,5,0,5,1,1,1,0,0,1,1,2,E01000490
2022010352618,2022,010352618,536136,173287,-0.042585,51.442225,1,3,2,1,01/01/2022,7,06:40,-1,E09000023,E09000023,3,205,6,30,6,2,3,205,0,5,4,1,1,0,0,1,1,2,E01003316
2022010352620,2022,010352620,531289,182241,-0.108959,51.523834,1,3,2,1,01/01/2022,7,16:53,-1,E09000019,E09000019,3,201,6,20,3,4,6,0,0,0,4,1,1,4,0,1,1,2,E01002726
2022010352623,2022,010352623,529851,171498,-0.13362,51.427622,1,3,2,2,01/01/2022,7,04:30,-1,E09000022,E09000022,3,216,6,20,6,2,3,216,0,5,4,1,1,0,0,1,1,2,E01003119
2022010352624,2022,010352624,533874,191438,-0.068221,51.605874,1,3,1,1,01/01/2022,7,21:01,-1,E09000014,E09000014,3,1010,6,20,3,4,5,0,0,0,4,1,1,0,0,1,1,2,E01002034
2022010352626,2022,010352626,540576,172123,0.020797,51.430681,1,3,2,1,01/01/2022,7,16:48,-1,E09000023,E09000023,5,0,6,30,3,2,3,2212,0,5,1,1,1,0,0,1,1,2,E01003236
2022010352627,2022,010352627,538036,182382,-0.011712,51.523493,1,3,3,1,01/01/2022,7,22:05,-1,E09000030,E09000030,4,140,6,20,3,4,6,0,0,0,4,1,1,0,0,1,1,2,E01004238
2022010352629,2022,010352629,537401,176153,-0.023283,51.467674,1,3,2,1,01/01/2022,7,18:50,-1,E09000023,E09000023,3,20,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,2,E01003211
2022010352631,2022,010352631,527702,175883,-0.162933,51.467517,1,3,2,1,01/01/2022,7,15:06,-1,E09000032,E09000032,3,3220,6,30,0,-1,0,-1,0,0,1,1,1,0,0,1,1,2,E01004585
2022010352635,2022,010352635,536123,178502,-0.040765,51.489091,1,2,1,1,01/01/2022,7,21:45,-1,E09000023,E09000023,3,200,6,20,3,4,6,0,0,4,4,1,1,0,0,1,1,2,E01003247
